DP;DPNOM;AÑO;ÁREA GEOGRÁFICA;Población
18;Caquetá;2036;Total;446.498
18;Caquetá;2037;Total;446.878
18;Caquetá;2038;Total;447.076
18;Caquetá;2039;Total;447.099
18;Caquetá;2040;Total;446.952
18;Caquetá;2041;Total;446.629
18;Caquetá;2042;Total;446.137
18;Caquetá;2043;Total;445.482
18;Caquetá;2044;Total;444.663
18;Caquetá;2045;Total;443.679
18;Caquetá;2046;Total;442.531
18;Caquetá;2047;Total;441.230
18;Caquetá;2048;Total;439.779
18;Caquetá;2049;Total;438.174
18;Caquetá;2050;Total;436.416
19;Cauca;2020;Cabecera;551.920
19;Cauca;2020;Centros Poblados y Rural Disperso;956.141
19;Cauca;2020;Total;1.508.061
19;Cauca;2021;Cabecera;553.237
19;Cauca;2021;Centros Poblados y Rural Disperso;972.047
19;Cauca;2021;Total;1.525.284
19;Cauca;2022;Cabecera;554.157
19;Cauca;2022;Centros Poblados y Rural Disperso;987.108
19;Cauca;2022;Total;1.541.265
19;Cauca;2023;Cabecera;555.626
19;Cauca;2023;Centros Poblados y Rural Disperso;1.002.419
19;Cauca;2023;Total;1.558.045
19;Cauca;2024;Cabecera;558.270
19;Cauca;2024;Centros Poblados y Rural Disperso;1.016.236
19;Cauca;2024;Total;1.574.506
19;Cauca;2025;Cabecera;561.251
19;Cauca;2025;Centros Poblados y Rural Disperso;1.028.920
19;Cauca;2025;Total;1.590.171
19;Cauca;2026;Cabecera;564.311
19;Cauca;2026;Centros Poblados y Rural Disperso;1.040.834
19;Cauca;2026;Total;1.605.145
19;Cauca;2027;Cabecera;567.480
19;Cauca;2027;Centros Poblados y Rural Disperso;1.052.188
19;Cauca;2027;Total;1.619.668
19;Cauca;2028;Cabecera;570.699
19;Cauca;2028;Centros Poblados y Rural Disperso;1.063.088
19;Cauca;2028;Total;1.633.787
19;Cauca;2029;Cabecera;573.997
19;Cauca;2029;Centros Poblados y Rural Disperso;1.073.551
19;Cauca;2029;Total;1.647.548
19;Cauca;2030;Cabecera;577.458
19;Cauca;2030;Centros Poblados y Rural Disperso;1.083.516
19;Cauca;2030;Total;1.660.974
19;Cauca;2031;Cabecera;580.800
19;Cauca;2031;Centros Poblados y Rural Disperso;1.093.256
19;Cauca;2031;Total;1.674.056
19;Cauca;2032;Cabecera;583.998
19;Cauca;2032;Centros Poblados y Rural Disperso;1.102.765
19;Cauca;2032;Total;1.686.763
19;Cauca;2033;Cabecera;587.030
19;Cauca;2033;Centros Poblados y Rural Disperso;1.112.057
19;Cauca;2033;Total;1.699.087
19;Cauca;2034;Cabecera;589.914
19;Cauca;2034;Centros Poblados y Rural Disperso;1.121.104
19;Cauca;2034;Total;1.711.018
19;Cauca;2035;Cabecera;592.657
19;Cauca;2035;Centros Poblados y Rural Disperso;1.129.879
19;Cauca;2035;Total;1.722.536
19;Cauca;2036;Total;1.733.619
19;Cauca;2037;Total;1.744.245
19;Cauca;2038;Total;1.754.418
19;Cauca;2039;Total;1.764.126
19;Cauca;2040;Total;1.773.345
19;Cauca;2041;Total;1.782.087
19;Cauca;2042;Total;1.790.362
19;Cauca;2043;Total;1.798.162
19;Cauca;2044;Total;1.805.489
19;Cauca;2045;Total;1.812.341
19;Cauca;2046;Total;1.818.727
19;Cauca;2047;Total;1.824.649
19;Cauca;2048;Total;1.830.107
19;Cauca;2049;Total;1.835.097
19;Cauca;2050;Total;1.839.610
20;Cesar;2020;Cabecera;969.600
20;Cesar;2020;Centros Poblados y Rural Disperso;321.319
20;Cesar;2020;Total;1.290.919
20;Cesar;2021;Cabecera;992.155
20;Cesar;2021;Centros Poblados y Rural Disperso;330.223
20;Cesar;2021;Total;1.322.378
20;Cesar;2022;Cabecera;1.010.938
20;Cesar;2022;Centros Poblados y Rural Disperso;338.224
20;Cesar;2022;Total;1.349.162
20;Cesar;2023;Cabecera;1.028.048
20;Cesar;2023;Centros Poblados y Rural Disperso;345.533
20;Cesar;2023;Total;1.373.581
20;Cesar;2024;Cabecera;1.043.435
20;Cesar;2024;Centros Poblados y Rural Disperso;352.051
20;Cesar;2024;Total;1.395.486
20;Cesar;2025;Cabecera;1.056.928
20;Cesar;2025;Centros Poblados y Rural Disperso;357.931
20;Cesar;2025;Total;1.414.859
20;Cesar;2026;Cabecera;1.069.034
20;Cesar;2026;Centros Poblados y Rural Disperso;363.304
20;Cesar;2026;Total;1.432.338
20;Cesar;2027;Cabecera;1.080.177
20;Cesar;2027;Centros Poblados y Rural Disperso;368.376
20;Cesar;2027;Total;1.448.553
20;Cesar;2028;Cabecera;1.090.663
20;Cesar;2028;Centros Poblados y Rural Disperso;373.215
20;Cesar;2028;Total;1.463.878
20;Cesar;2029;Cabecera;1.100.734
20;Cesar;2029;Centros Poblados y Rural Disperso;377.898
20;Cesar;2029;Total;1.478.632
20;Cesar;2030;Cabecera;1.110.566
20;Cesar;2030;Centros Poblados y Rural Disperso;382.551
20;Cesar;2030;Total;1.493.117
20;Cesar;2031;Cabecera;1.120.161
20;Cesar;2031;Centros Poblados y Rural Disperso;387.201
20;Cesar;2031;Total;1.507.362
20;Cesar;2032;Cabecera;1.129.460
20;Cesar;2032;Centros Poblados y Rural Disperso;391.773
20;Cesar;2032;Total;1.521.233
20;Cesar;2033;Cabecera;1.138.417
20;Cesar;2033;Centros Poblados y Rural Disperso;396.298
20;Cesar;2033;Total;1.534.715
20;Cesar;2034;Cabecera;1.147.069
20;Cesar;2034;Centros Poblados y Rural Disperso;400.748
20;Cesar;2034;Total;1.547.817
20;Cesar;2035;Cabecera;1.155.380
20;Cesar;2035;Centros Poblados y Rural Disperso;405.180
20;Cesar;2035;Total;1.560.560
20;Cesar;2036;Total;1.572.887
20;Cesar;2037;Total;1.584.725
20;Cesar;2038;Total;1.596.081
20;Cesar;2039;Total;1.606.977
20;Cesar;2040;Total;1.617.399
20;Cesar;2041;Total;1.627.346
20;Cesar;2042;Total;1.636.840
20;Cesar;2043;Total;1.645.891
20;Cesar;2044;Total;1.654.484
20;Cesar;2045;Total;1.662.605
20;Cesar;2046;Total;1.670.272
20;Cesar;2047;Total;1.677.498
20;Cesar;2048;Total;1.684.267
20;Cesar;2049;Total;1.690.576
20;Cesar;2050;Total;1.696.420
23;Córdoba;2020;Cabecera;957.601
23;Córdoba;2020;Centros Poblados y Rural Disperso;884.984
23;Córdoba;2020;Total;1.842.585
23;Córdoba;2021;Cabecera;964.198
23;Córdoba;2021;Centros Poblados y Rural Disperso;900.138
23;Córdoba;2021;Total;1.864.336
23;Córdoba;2022;Cabecera;969.074
23;Córdoba;2022;Centros Poblados y Rural Disperso;913.137
23;Córdoba;2022;Total;1.882.211
23;Córdoba;2023;Cabecera;973.453
23;Córdoba;2023;Centros Poblados y Rural Disperso;925.458
23;Córdoba;2023;Total;1.898.911
23;Córdoba;2024;Cabecera;978.040
23;Córdoba;2024;Centros Poblados y Rural Disperso;936.738
23;Córdoba;2024;Total;1.914.778
23;Córdoba;2025;Cabecera;982.243
23;Córdoba;2025;Centros Poblados y Rural Disperso;947.093
23;Córdoba;2025;Total;1.929.336
23;Córdoba;2026;Cabecera;986.097
